"State","sum","code"
"Alabama",124,"AL"
"Alaska",165,"AK"
"Arizona",359,"AZ"
"Arkansas",244,"AR"
"California",214,"CA"
"Colorado",210,"CO"
"Connecticut",230,"CT"
"Delaware",108,"DE"
"Florida",557,"FL"
"Georgia",276,"GA"
"Hawaii",249,"HI"
"Idaho",166,"ID"
"Illinois",108,"IL"
"Indiana",339,"IN"
"Iowa",271,"IA"
"Kansas",331,"KS"
"Kentucky",158,"KY"
"Louisiana",179,"LA"
"Maine",425,"ME"
"Maryland",496,"MD"
"Massachusetts",247,"MA"
"Michigan",301,"MI"
"Minnesota",396,"MN"
"Mississippi",133,"MS"
"Missouri",243,"MO"
"Montana",239,"MT"
"Nebraska",344,"NE"
"Nevada",111,"NV"
"New Hampshire",248,"NH"
"New Jersey",162,"NJ"
"New Mexico",188,"NM"
"New York",416,"NY"
"North Carolina",127,"NC"
"North Dakota",138,"ND"
"Ohio",589,"OH"
"Oklahoma",188,"OK"
"Oregon",143,"OR"
"Pennsylvania",137,"PA"
"Rhode Island",166,"RI"
"South Carolina",298,"SC"
"South Dakota",294,"SD"
"Tennessee",177,"TN"
"Texas",426,"TX"
"Utah",227,"UT"
"Vermont",251,"VT"
"Virginia",309,"VA"
"Washington",760,"WA"
"West Virginia",246,"WV"
"Wisconsin",327,"WI"
"Wyoming",121,"WY"
